---------------------
  #    meV     cm^-1
---------------------
  0    7.7i     62.3i
  1   10.8      87.5
  2   12.0      96.6
  3   14.7     118.9
  4   15.4     124.5
  5   18.6     150.1
  6   21.7     175.3
  7   26.3     212.3
  8   30.2     243.8
  9   32.6     263.1
 10   59.1     476.7
 11   64.7     521.9
 12   70.5     568.8
 13  121.6     980.5
 14  134.0    1081.0
 15  143.8    1159.8
 16  164.8    1328.9
 17  179.0    1443.7
 18  182.7    1473.3
 19  183.2    1477.7
 20  195.5    1576.9
 21  370.7    2989.8
 22  381.1    3073.5
 23  386.2    3115.0
 24  456.4    3681.0
 25  458.4    3697.1
 26  473.1    3815.6
---------------------
Zero-point energy: 2.104 eV
