---------------------
  #    meV     cm^-1
---------------------
  0    3.2i     25.9i
  1    1.5i     12.3i
  2    6.1      49.2
  3    7.5      60.9
  4    8.8      70.7
  5   12.4     100.0
  6   13.3     107.0
  7   16.7     134.4
  8   18.5     149.2
  9   20.5     165.7
 10   21.8     175.9
 11   24.0     193.3
 12   27.8     224.3
 13   34.0     274.3
 14   50.5     407.6
 15   56.6     456.2
 16   60.1     484.4
 17  103.7     836.0
 18  121.6     981.1
 19  134.9    1088.4
 20  144.2    1163.2
 21  166.1    1340.0
 22  179.2    1445.6
 23  183.0    1476.0
 24  183.3    1478.8
 25  201.5    1625.1
 26  291.9    2354.7
 27  371.7    2998.2
 28  381.8    3079.5
 29  387.2    3123.2
 30  410.5    3310.7
 31  456.6    3682.9
 32  475.5    3835.5
---------------------
Zero-point energy: 2.286 eV
