---------------------
  #    meV     cm^-1
---------------------
  0    7.8i     62.6i
  1    3.8i     30.8i
  2    3.1i     24.6i
  3    5.9      47.7
  4    7.3      59.3
  5   10.5      84.6
  6   12.5     100.7
  7   13.5     108.5
  8   19.3     155.4
  9   23.3     187.8
 10   24.1     194.2
 11   28.8     232.4
 12   34.5     278.5
 13   45.2     364.9
 14   66.3     534.7
 15   67.6     545.0
 16   82.3     663.5
 17  118.4     954.8
 18  134.2    1082.7
 19  144.6    1166.7
 20  164.8    1328.9
 21  179.7    1449.8
 22  182.5    1471.7
 23  183.1    1477.0
 24  300.3    2421.9
 25  372.6    3005.3
 26  383.0    3088.9
 27  389.1    3138.0
 28  461.6    3723.4
 29  465.8    3756.6
---------------------
Zero-point energy: 1.960 eV
