---------------------
  #    meV     cm^-1
---------------------
  0    6.5i     52.2i
  1    9.9      79.5
  2   19.5     157.2
  3   20.4     164.5
  4   22.6     182.6
  5   31.6     254.9
  6   33.6     270.9
  7   40.0     322.4
  8   45.8     369.1
  9   71.3     575.1
 10   74.6     601.6
 11  126.1    1017.2
 12  141.9    1144.5
 13  144.7    1167.0
 14  180.3    1454.0
 15  181.5    1464.2
 16  182.2    1469.4
 17  367.9    2967.1
 18  376.3    3035.0
 19  378.8    3055.4
 20  470.5    3794.5
---------------------
Zero-point energy: 1.460 eV
