---------------------
  #    meV     cm^-1
---------------------
  0    7.2i     58.5i
  1    2.7i     22.1i
  2    2.0      15.7
  3    5.9      47.7
  4    8.5      68.6
  5    9.6      77.4
  6   11.7      94.6
  7   14.2     114.4
  8   17.1     137.5
  9   20.7     167.0
 10   22.7     182.8
 11   25.9     209.2
 12   32.4     261.6
 13   39.1     315.6
 14   45.6     367.8
 15   59.8     482.3
 16   71.1     573.3
 17  130.8    1055.2
 18  142.8    1151.5
 19  145.2    1171.4
 20  179.5    1447.4
 21  182.1    1468.7
 22  183.1    1477.1
 23  196.1    1581.4
 24  300.0    2420.1
 25  362.7    2925.5
 26  369.9    2983.0
 27  373.2    3010.0
 28  460.2    3711.8
 29  475.1    3832.2
---------------------
Zero-point energy: 1.944 eV
