---------------------
  #    meV     cm^-1
---------------------
  0   13.1i    105.9i
  1   12.7     102.1
  2   16.9     135.9
  3   21.4     172.9
  4   22.7     183.0
  5   24.2     195.4
  6   25.3     204.1
  7   42.3     341.5
  8   54.1     436.1
  9   63.5     512.4
 10   78.7     635.1
 11  104.6     844.0
 12  131.6    1061.5
 13  135.3    1091.5
 14  169.0    1363.4
 15  177.1    1428.2
 16  204.1    1646.5
 17  371.6    2997.2
 18  413.6    3335.6
 19  432.1    3485.0
 20  475.1    3832.0
---------------------
Zero-point energy: 1.488 eV
