---------------------
  #    meV     cm^-1
---------------------
  0   17.5i    140.8i
  1   15.3     123.3
  2   18.7     151.0
  3   21.4     172.5
  4   22.0     177.5
  5   24.8     200.4
  6   34.8     280.5
  7   38.2     308.3
  8   44.6     359.9
  9   51.3     413.7
 10   66.7     538.1
 11   71.8     579.2
 12   76.0     613.2
 13   83.0     669.7
 14   84.2     679.2
 15  116.8     942.1
 16  120.6     973.0
 17  157.7    1271.7
 18  167.9    1354.2
 19  181.6    1464.6
 20  193.4    1560.0
 21  196.1    1581.6
 22  371.5    2996.6
 23  418.9    3378.9
 24  428.5    3455.8
 25  459.5    3705.9
 26  472.6    3812.1
---------------------
Zero-point energy: 1.969 eV
