---------------------
  #    meV     cm^-1
---------------------
  0   29.0i    233.8i
  1    5.0      40.2
  2    9.0      72.5
  3   10.4      83.5
  4   16.0     129.0
  5   16.6     133.7
  6   19.1     153.8
  7   20.6     166.0
  8   25.5     206.0
  9   31.8     256.5
 10   41.7     336.6
 11   49.4     398.8
 12  118.0     951.7
 13  125.5    1012.1
 14  148.1    1194.6
 15  179.6    1448.2
 16  195.0    1572.8
 17  350.5    2826.7
 18  453.8    3660.3
 19  466.2    3760.1
 20  481.5    3883.4
---------------------
Zero-point energy: 1.382 eV
