---------------------
  #    meV     cm^-1
---------------------
  0   49.8i    401.9i
  1   34.1i    274.7i
  2   10.9i     87.6i
  3   14.5     117.0
  4   18.5     148.9
  5   22.2     179.4
  6   25.4     204.6
  7   32.9     265.7
  8   41.5     334.8
  9   61.9     498.9
 10   64.6     520.9
 11   67.7     546.4
 12   68.6     553.2
 13   70.2     566.0
 14  139.9    1128.2
 15  190.2    1534.2
 16  201.4    1624.8
 17  202.8    1635.9
 18  423.4    3414.7
 19  430.6    3472.8
 20  439.8    3547.1
 21  440.4    3551.9
 22  442.7    3570.6
 23  472.5    3810.8
---------------------
Zero-point energy: 1.936 eV
