---------------------
  #    meV     cm^-1
---------------------
  0   16.6i    134.0i
  1   14.4     116.2
  2   14.8     119.2
  3   15.1     121.4
  4   17.7     142.5
  5   17.7     143.0
  6   24.1     194.4
  7   30.6     247.1
  8   60.2     485.4
  9   61.7     497.6
 10   66.2     534.1
 11   67.6     545.1
 12  139.1    1121.5
 13  142.1    1145.9
 14  201.5    1624.9
 15  202.8    1635.9
 16  202.9    1636.4
 17  203.8    1643.5
 18  418.9    3378.7
 19  423.7    3417.2
 20  434.9    3507.5
 21  439.7    3546.3
 22  439.8    3546.9
 23  441.2    3558.8
---------------------
Zero-point energy: 2.040 eV
