                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:58:12   -40405.230836*       4.3131
BFGSLineSearch:    1[  1] 17:32:02   -40407.752003*       6.1927
BFGSLineSearch:    2[  3] 18:21:37   -40408.512447*       2.5610
BFGSLineSearch:    3[  5] 19:16:19   -40409.262510*       3.1935
BFGSLineSearch:    4[  7] 20:09:15   -40409.747435*       1.4291
BFGSLineSearch:    5[  9] 20:55:58   -40410.049477*       2.7488
BFGSLineSearch:    6[ 11] 22:09:18   -40410.191723*       1.1211
BFGSLineSearch:    7[ 13] 23:02:03   -40410.313793*       0.8105
BFGSLineSearch:    8[ 15] 23:43:59   -40410.473458*       0.9141
BFGSLineSearch:    9[ 17] 00:34:25   -40410.615447*       0.7381
BFGSLineSearch:   10[ 19] 01:16:29   -40410.714747*       0.8029
BFGSLineSearch:   11[ 21] 02:08:29   -40410.817429*       0.7303
BFGSLineSearch:   12[ 22] 02:33:33   -40410.913410*       0.8098
BFGSLineSearch:   13[ 24] 03:18:14   -40410.993494*       0.6024
BFGSLineSearch:   14[ 26] 04:07:31   -40411.061176*       0.5322
BFGSLineSearch:   15[ 27] 04:29:06   -40411.123635*       0.8087
BFGSLineSearch:   16[ 29] 05:06:23   -40411.161286*       0.8204
BFGSLineSearch:   17[ 31] 05:47:20   -40411.204044*       0.6476
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:22:41   -40411.204033*       0.6470
BFGSLineSearch:    1[  2] 10:01:34   -40411.219528*       0.3939
BFGSLineSearch:    2[  3] 10:20:19   -40411.244866*       0.6881
BFGSLineSearch:    3[  5] 11:02:28   -40411.274027*       0.3995
BFGSLineSearch:    4[  7] 11:42:59   -40411.288905*       0.3103
BFGSLineSearch:    5[  8] 12:02:23   -40411.320111*       0.3150
BFGSLineSearch:    6[ 10] 12:42:15   -40411.342824*       0.3449
BFGSLineSearch:    7[ 11] 12:59:27   -40411.369181*       0.4865
BFGSLineSearch:    8[ 12] 13:17:13   -40411.394432*       0.6874
BFGSLineSearch:    9[ 13] 13:36:57   -40411.424162*       0.6374
BFGSLineSearch:   10[ 14] 13:57:28   -40411.466446*       0.5216
BFGSLineSearch:   11[ 15] 14:18:37   -40411.501155*       0.5372
BFGSLineSearch:   12[ 16] 14:37:08   -40411.563128*       1.0286
BFGSLineSearch:   13[ 18] 15:19:53   -40411.613957*       0.5981
BFGSLineSearch:   14[ 20] 16:05:30   -40411.648080*       0.8276
BFGSLineSearch:   15[ 22] 16:48:21   -40411.677776*       0.3241
BFGSLineSearch:   16[ 24] 17:28:49   -40411.691336*       0.2183
BFGSLineSearch:   17[ 26] 18:06:40   -40411.703485*       0.3071
BFGSLineSearch:   18[ 28] 18:43:47   -40411.714151*       0.2056
BFGSLineSearch:   19[ 29] 19:06:36   -40411.726874*       0.1916
BFGSLineSearch:   20[ 30] 19:25:06   -40411.736265*       0.2257
BFGSLineSearch:   21[ 31] 19:45:46   -40411.747200*       0.1760
BFGSLineSearch:   22[ 33] 20:20:42   -40411.753728*       0.2461
BFGSLineSearch:   23[ 34] 20:43:07   -40411.759637*       0.2711
BFGSLineSearch:   24[ 35] 21:06:08   -40411.767051*       0.1537
BFGSLineSearch:   25[ 36] 21:20:28   -40411.772877*       0.1843
BFGSLineSearch:   26[ 37] 21:37:05   -40411.777964*       0.2966
BFGSLineSearch:   27[ 38] 21:53:47   -40411.787833*       0.1582
BFGSLineSearch:   28[ 39] 22:13:29   -40411.795336*       0.1584
BFGSLineSearch:   29[ 40] 22:38:06   -40411.801002*       0.1839
BFGSLineSearch:   30[ 41] 22:55:16   -40411.805818*       0.1521
BFGSLineSearch:   31[ 42] 23:13:42   -40411.810494*       0.1554
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 08:09:42   -40411.810491*       0.1550
BFGSLineSearch:    1[  2] 08:46:10   -40411.813644*       0.0835
BFGSLineSearch:    2[  4] 09:21:23   -40411.818849*       0.0945
BFGSLineSearch:    3[  5] 09:41:00   -40411.822402*       0.2075
BFGSLineSearch:    4[  6] 09:55:59   -40411.825498*       0.0823
BFGSLineSearch:    5[  7] 10:12:45   -40411.828400*       0.0885
BFGSLineSearch:    6[  8] 10:28:36   -40411.831652*       0.1169
BFGSLineSearch:    7[  9] 10:50:10   -40411.834447*       0.0942
BFGSLineSearch:    8[ 10] 11:09:48   -40411.837153*       0.0859
BFGSLineSearch:    9[ 11] 11:23:30   -40411.838988*       0.0449
